,Review,Star
0,"Got this pice of machine delivered right next day of ordering. Amazing delivery service by Amazon. The product packaging was factory sealed. Now, coming to the important points below:1. This feels a bit larger than it should be. Finishing is good but the front panel is glossy fiber. Hence fingerprint magnet.2. You now have the ability to increase or decrease the micro power.3. The clock gets reset every time you switch it off from board. Idk why they've included it.4. Deodorizer feature is a good one.5. The final and most important: SAMSUNG IS BRANDING THIS PRODUCT AS CURD/DOUGH MAKER. THEY'VE MADE A DEDICATED BUTTON FOR THIS PURPOSE BUT THIS MODEL TAKES AROUND 6-9 HOURS TO PROCESS CURD WITH THE PRESET MENU PROVIDED. Where other Samsung models are taking 35 mins to process same amount of curd. What is the meaning of this joke Samsung? Mix a tablespoon of curd with a bowl of milk, it'll take max 4-5 hrs to get a bowlfull of nice curd, naturally. Why I'll run this monster overnight to get this? THIS FEATURE IS JUST A CHEAP MARKETING GIMMICK!!This is just from my Day1 observation. Will update you guys if I get to find more.",4.4
1,"Product was okay, but amazon is not providing the accessories mentioned.I've not received ""1 Crusty Plate, 1 Power Steam Bowl"".Customer service is worst no one is picking call whenever I'm trying to lodge complain.",4.0
2,They say it's touch panel. It's not. Hiding buttons behind glossy panel doesn't mean it's touch panel. You have to press buttons litterally. Recieved a small body part broken but didn't return because it's kind of hidden and not impacting the actual work a oven do.Otherwise so far it's working good. Happy to have it that way. They could have installed a time chip the time shown by own always resets to 12 on power cut. I mean how much it costs to do such kind of things but these people are more into gettign more money :P,1.0
3,"Ordered on 3rd October delivered on 7th October.....packing was good .....but one crusty plate and steam bowl was not there.😨😨But,it was clearly mentioned on the product page.",4.0
4,"my product from amazon was very good they have delivered in time.my oven is working very,they have delivered safe in condition. but services from samsung was very bad my oven was delivered a week ago but samsung services was not responding properly. i have contaced to samsung services they not responding properly,this kind of services taking samsung brand products are not worth,verys dissapointed with samsung.",4.0
5,"This Samsung Owen with convection, grill and microwave option is very handy and easy to use without any guidance. Though samsung is providing demo by thier local service executive to the purchaser within a week of its delivery.I got this for an offer price. So at this price point it's very much in a value for money category. Overall good experience so far with 3 months of usage. Also recommend to few of my friends who where looking for a good oven.",2.0
6,"We rarely use this microwave, like only for warming food during winters and cake baking at b'day occasion but after one year,Several internal parts got fused and one of the part ""magnetron"" which suppose to be in guaranteed for 5 years, was damaged and service engineer from samsung is charging Rs 2,100 and is not availing guarantee.  Also charging too much for other damaged inside parts.BAD COMPANY AFTER SALES SERVICE",3.0
7,"Didn't provide crusty plate and Power steam bowl. Feeling utterly disappointed,  didn't know if Cloudtail India could go this low.Now I have to purchase it from mrkt, which will cost me  ₹1000 more.😣😣",3.0
8,Please do not buy this. My turntable was broken. It doesn’t turn. Sometimes it starts move and some times it doesn’t. Heat in the oven is also not good. I did a test too. I made a 2 kg batter for chocolate cake. Baked one kg in this oven and another kg in my aunt’s oven. Her cake was all good. Mine got burnt outside and didn’t cook in the inside. The worst product I’ve got delivered by amazon.Take my suggestionMove on***do not buy this***Amazon people didn’t even allow me to return or exchange this.I am so frustrated.My 8000 went straight down dustbin.,4.0
9,"When you buy for 8415, you can't deny the value for money.Package looked mishandled by the courier but the product was well packed it didn't have any dents or scratches.It has all the basic things required for a microwave.Few things which could have been better,Door lock looks weak. May wear and tear sooner when frequently opened and closed.Buttons are not soft and not hard. Kind of confused pressing everytime.If you use microwave occasionally, this might be the best option.If you are planning to use often like office microwaves. May be you have to think a little.",5.0
