GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,#meta+source,,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,,,,#indicator+value+num,,,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,44.1 [42.2-46.1],44.14727,42.23837,46.07362,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ3,Q3,,,,,68.6 [66.7-70.4],68.59484,66.73531,70.39654,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,PRLM,Primary,,,,,,,,,,,,,,76.3 [74.6-77.9],76.28366,74.55167,77.93267,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199801,01 andhra pradesh,,92.6 [90.1-94.5],92.63234,90.13760,94.53429,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199808,08 jammu and kashmir,,83.6 [79.6-87.0],83.62437,79.55463,87.01624,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199810,10 kerala,,99.2 [98.1-99.7],99.17464,98.05236,99.65252,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199815,15 mizoram,,90.5 [84.6-94.2],90.46532,84.63195,94.23528,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199817,17 orissa,,80.3 [77.3-83.0],80.28227,77.30359,82.95622,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199824,24 new delhi,,84.5 [79.8-88.3],84.51643,79.82240,88.27881,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199826,26 tripura,,70.4 [62.9-76.9],70.36678,62.85672,76.91603,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ2,Q2,,,,,55.3 [53.2-57.4],55.31515,53.22018,57.39141,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,NHLM,None,,,,,,,,,,,,,,49.1 [47.7-50.4],49.05530,47.73338,50.37854,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,SHLM,Secondary or higher,,,,,,,,,,,,,,90.4 [89.6-91.2],90.43449,89.58368,91.22263,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199802,02 assam,,60.4 [54.9-65.7],60.40197,54.87877,65.67199,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199807,07 himachal pradesh,,86.4 [81.8-89.9],86.37473,81.79066,89.94662,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199809,09 karnataka,,86.9 [84.2-89.3],86.94632,84.15634,89.30743,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199816,16 nagaland,,59.4 [52.3-66.1],59.38705,52.25850,66.14084,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199818,18 punjab,,74.5 [70.0-78.6],74.51641,69.96128,78.59215,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199823,23 uttar pradesh,,35.1 [32.7-37.5],35.09740,32.73369,37.53654,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199825,25 arunachal pradesh,,60.8 [51.9-69.1],60.84370,51.90768,69.10751,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,RUR,Rural,,,,,,,,59.8 [58.5-61.2],59.84689,58.52945,61.15026,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,URB,Urban,,,,,,,,86.4 [84.8-88.0],86.44849,84.79098,87.95102,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199803,03 bihar,,35.8 [32.6-39.2],35.82767,32.62298,39.16420,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199804,04 goa,,99.0 [95.7-99.7],98.95378,95.73798,99.74953,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199805,05 gujarat,,87.1 [84.0-89.7],87.09991,84.02713,89.65435,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199806,06 haryana,,58.2 [53.0-63.1],58.15865,53.00994,63.13555,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199819,19 rajasthan,,48.6 [45.3-51.9],48.59831,45.27825,51.93078,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199820,20 sikkim,,71.6 [65.5-77.0],71.57844,65.45956,76.99430,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199821,21 tamil nadu,,98.2 [97.1-98.9],98.23675,97.13979,98.91768,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199822,22 west bengal,,90.3 [87.1-92.7],90.27615,87.14100,92.71086,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ4,Q4,,,,,80.3 [78.8-81.8],80.31111,78.77715,81.75986,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ5,Q5 (Richest),,,,,92.8 [91.7-93.8],92.83343,91.70242,93.82067,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199811,11 madhya pradesh,,61.6 [58.4-64.7],61.63238,58.42584,64.74086,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199812,12 maharashtra,,90.3 [87.5-92.5],90.28109,87.47097,92.51487,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199813,13 manipur,,79.9 [74.4-84.5],79.90612,74.35522,84.50587,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS199814,14 meghalaya,,53.2 [45.5-60.8],53.21088,45.49321,60.77792,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,RUR,Rural,,,,,,,,67.6 [66.1-69.0],67.56776,66.14518,68.95863,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS200502,02 [hp] himachal pradesh,,85.1 [80.5-88.8],85.14480,80.51642,88.82628,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS200509,09 [bh] bihar,,32.7 [28.8-36.8],32.68556,28.78800,36.83783,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS200511,11 [ar] arunachal pradesh,,55.2 [47.7-62.5],55.23092,47.72395,62.50679,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS200516,16 [mg] meghalaya,,64.0 [56.3-71.0],63.96022,56.31329,70.95891,,,
anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,INDDHS200518,18 [wb] west bengal,,87.0 [82.6-90.4],86.95942,82.55406,90.38196,,,
